Date Published,Event,Frequency,Headline Text,Location,News Sentiment,News Source,Number,Organization,Other,Person,Sector,Sentiment Magnitude,Source,Sub-Sector,Summary,Super Region,URL
2021-02-25,drilling,DAILY,ExxonMobil sells some North Sea drilling exploration sites,North Sea;exploration sites;coast;U.K.,0.1,SAN FRANCISCO CHRONICLE,1 billion,ExxonMobil;Exxon,exploration assets;most;focus, ,NEWS AI SENTIMENTS,0.8,WORLDDATA.AI,NORTH AMERICA NEWS SOURCES,EXXONMOBIL IS SELLING MOST OF ITS DRILLING AND EXPLORATION ASSETS OFF THE COAST OF THE U.K. IN THE NORTH SEA FOR MORE THAN $1 BILLION. EXXON HAS HEIGHTENED ITS FOCUS ...,GLOBAL DATA,https://www.sfchronicle.com/business/article/ExxonMobil-selling-some-assets-for-more-than-1B-15975101.php
2021-02-25,drilling,DAILY,ExxonMobil sells some North Sea drilling exploration sites,North Sea;exploration sites;coast;U.K.,0.1,EXPRESS-NEWS,1 billion,ExxonMobil;Exxon,exploration assets;most;focus, ,NEWS AI SENTIMENTS,0.8,WORLDDATA.AI,NORTH AMERICA NEWS SOURCES,EXXONMOBIL IS SELLING MOST OF ITS DRILLING AND EXPLORATION ASSETS OFF THE COAST OF THE U.K. IN THE NORTH SEA FOR MORE THAN $1 BILLION. EXXON HAS HEIGHTENED ITS FOCUS ...,GLOBAL DATA,https://www.mysanantonio.com/business/oil/article/ExxonMobil-selling-some-assets-for-more-than-1B-15975752.php
2021-02-25, ,DAILY,Exxon Mobil's total reserves drop by a third after COVID oil ..., ,-0.1,REUTERS,15.2 billion;2020;22.4 billion,Exxon Mobil;Exxon;COVID;oil sands,oil;reserves;barrels;gas, ,NEWS AI SENTIMENTS,0.2,WORLDDATA.AI,NORTH AMERICA NEWS SOURCES,EXXON'S TOTAL RESERVES FOR ALL PRODUCTS FELL TO 15.2 BILLION BARRELS OF OIL AND GAS AT THE END OF 2020 FROM 22.4 BILLION THE YEAR BEFORE MOSTLY DRIVEN BY OIL SANDS IN ...,GLOBAL DATA,https://www.reuters.com/article/us-exxon-mobil-outlook/exxon-mobils-total-reserves-drop-by-a-third-after-covid-oil-price-drop-idUSKBN2AO2ZB
2021-02-25, ,DAILY,Exxon to divest some UK North Sea assets for over $1 billion,North Sea;UK,-0.1,REUTERS,1 billion,Reuters;Exxon;Exxon Mobil Corp,assets;HitecVision;private-equity fund;interest;production;exploration, ,NEWS AI SENTIMENTS,0.1,WORLDDATA.AI,NORTH AMERICA NEWS SOURCES, - EXXON MOBIL CORP WILL SELL NON-OPERATING INTEREST IN ITS UK AND NORTH SEA EXPLORATION AND PRODUCTION ASSETS TO PRIVATE-EQUITY FUND HITECVISION FOR ...,GLOBAL DATA,https://www.reuters.com/article/exxon-mobil-divestiture/update-2-exxon-to-divest-some-uk-north-sea-assets-for-over-1-bln-idUSL4N2KU3PE
2021-02-25,drilling,DAILY,ExxonMobil sells some North Sea drilling exploration sites,North Sea;exploration sites;coast;U.K.,0.1,THE PHILADELPHIA INQUIRER,1 billion,ExxonMobil;Exxon,exploration assets;most;focus, ,NEWS AI SENTIMENTS,0.8,WORLDDATA.AI,NORTH AMERICA NEWS SOURCES,EXXONMOBIL IS SELLING MOST OF ITS DRILLING AND EXPLORATION ASSETS OFF THE COAST OF THE U.K. IN THE NORTH SEA FOR MORE THAN $1 BILLION. EXXON HAS HEIGHTENED ITS FOCUS ...,GLOBAL DATA,https://www.inquirer.com/wires/ap/exxonmobil-selling-some-assets-more-than-1b-20210224.html
2021-02-25,drilling,DAILY,ExxonMobil sells some North Sea drilling exploration sites,North Sea;exploration sites;coast;U.K.,0.1,THE SEATTLE TIMES,1 billion,ExxonMobil;Exxon,exploration assets;most;focus, ,NEWS AI SENTIMENTS,0.8,WORLDDATA.AI,NORTH AMERICA NEWS SOURCES,EXXONMOBIL IS SELLING MOST OF ITS DRILLING AND EXPLORATION ASSETS OFF THE COAST OF THE U.K. IN THE NORTH SEA FOR MORE THAN $1 BILLION. EXXON HAS HEIGHTENED ITS FOCUS ...,GLOBAL DATA,https://www.seattletimes.com/business/exxonmobil-selling-some-assets-for-more-than-1b/
2021-02-25,drilling,DAILY,ExxonMobil sells some North Sea drilling exploration sites,North Sea;exploration sites;coast;U.K.,0.1,SEATTLE POST-INTELLIGENCER,1 billion,ExxonMobil;Exxon,exploration assets;most;focus, ,NEWS AI SENTIMENTS,0.8,WORLDDATA.AI,NORTH AMERICA NEWS SOURCES,EXXONMOBIL IS SELLING MOST OF ITS DRILLING AND EXPLORATION ASSETS OFF THE COAST OF THE U.K. IN THE NORTH SEA FOR MORE THAN $1 BILLION. EXXON HAS HEIGHTENED ITS FOCUS ...,GLOBAL DATA,https://www.seattlepi.com/business/article/ExxonMobil-selling-some-assets-for-more-than-1B-15975101.php
2021-02-25,drilling,DAILY,ExxonMobil sells some North Sea drilling exploration sites,North Sea;exploration sites;coast;U.K.,0.1,WINNIPEG FREE PRESS,1 billion,ExxonMobil;Exxon,exploration assets;most;focus, ,NEWS AI SENTIMENTS,0.8,WORLDDATA.AI,NORTH AMERICA NEWS SOURCES,EXXONMOBIL IS SELLING MOST OF ITS DRILLING AND EXPLORATION ASSETS OFF THE COAST OF THE U.K. IN THE NORTH SEA FOR MORE THAN $1 BILLION. EXXON HAS HEIGHTENED ITS FOCUS ...,GLOBAL DATA,https://www.winnipegfreepress.com/business/exxonmobil-sells-some-north-sea-drilling-exploration-sites-573860662.html
2021-02-25,drilling,DAILY,ExxonMobil sells some North Sea drilling exploration sites,North Sea;exploration sites;coast;U.K.,0.1,TIMES UNION,1 billion,ExxonMobil;Exxon,exploration assets;most;focus, ,NEWS AI SENTIMENTS,0.8,WORLDDATA.AI,NORTH AMERICA NEWS SOURCES,EXXONMOBIL IS SELLING MOST OF ITS DRILLING AND EXPLORATION ASSETS OFF THE COAST OF THE U.K. IN THE NORTH SEA FOR MORE THAN $1 BILLION. EXXON HAS HEIGHTENED ITS FOCUS ...,GLOBAL DATA,https://www.timesunion.com/business/article/ExxonMobil-selling-some-assets-for-more-than-1B-15975101.php
2021-02-25,drilling,DAILY,ExxonMobil sells some North Sea drilling exploration sites,North Sea;exploration sites;coast;U.K.,0.1,CHRON,1 billion,ExxonMobil;Exxon,exploration assets;most;focus, ,NEWS AI SENTIMENTS,0.8,WORLDDATA.AI,NORTH AMERICA NEWS SOURCES,EXXONMOBIL IS SELLING MOST OF ITS DRILLING AND EXPLORATION ASSETS OFF THE COAST OF THE U.K. IN THE NORTH SEA FOR MORE THAN $1 BILLION. EXXON HAS HEIGHTENED ITS FOCUS ...,GLOBAL DATA,https://www.chron.com/business/article/ExxonMobil-selling-some-assets-for-more-than-1B-15975101.php
2021-02-24, ,DAILY,Weakness in Big Tech stocks leaves Wall Street mostly lower, ,-0.5,THE STATE,2.5,companies;Nasdaq;Disney;Exxon Mobil,Weakness;stocks;Big Tech;composite;Wall Street;gains;Dow Jones Industrial Average;gain, ,NEWS AI SENTIMENTS,0.5,WORLDDATA.AI,NORTH AMERICA NEWS SOURCES,THE TECH-HEAVY NASDAQ COMPOSITE SLID 2.5% WHILE THE DOW JONES INDUSTRIAL AVERAGE EKED OUT A TINY GAIN AS SOLID GAINS BY COMPANIES LIKE DISNEY EXXON MOBIL ...,GLOBAL DATA,https://www.thestate.com/news/article249421275.html
2021-02-24, ,DAILY,Weakness in Big Tech stocks leaves Wall Street mostly lower, ,-0.5,THE SACRAMENTO BEE,2.5,companies;Nasdaq;Disney;Exxon Mobil,Weakness;stocks;Big Tech;composite;Wall Street;gains;Dow Jones Industrial Average;gain, ,NEWS AI SENTIMENTS,0.5,WORLDDATA.AI,NORTH AMERICA NEWS SOURCES,THE TECH-HEAVY NASDAQ COMPOSITE SLID 2.5% WHILE THE DOW JONES INDUSTRIAL AVERAGE EKED OUT A TINY GAIN AS SOLID GAINS BY COMPANIES LIKE DISNEY EXXON MOBIL ...,GLOBAL DATA,https://www.sacbee.com/news/article249421275.html
2021-02-24, ,DAILY,Weakness in Big Tech stocks leaves Wall Street mostly lower, ,-0.5,FORT WORTH STAR-TELEGRAM,2.5,companies;Nasdaq;Disney;Exxon Mobil,Weakness;stocks;Big Tech;composite;Wall Street;gains;Dow Jones Industrial Average;gain, ,NEWS AI SENTIMENTS,0.5,WORLDDATA.AI,NORTH AMERICA NEWS SOURCES,THE TECH-HEAVY NASDAQ COMPOSITE SLID 2.5% WHILE THE DOW JONES INDUSTRIAL AVERAGE EKED OUT A TINY GAIN AS SOLID GAINS BY COMPANIES LIKE DISNEY EXXON MOBIL ...,GLOBAL DATA,https://www.star-telegram.com/news/nation-world/national/article249421275.html
2021-02-24, ,DAILY,Weakness in Big Tech stocks leaves Wall Street mostly lower, ,-0.5,THE KANSAS CITY STAR,2.5,companies;Nasdaq;Disney;Exxon Mobil,Weakness;stocks;Big Tech;composite;Wall Street;gains;Dow Jones Industrial Average;gain, ,NEWS AI SENTIMENTS,0.5,WORLDDATA.AI,NORTH AMERICA NEWS SOURCES,THE TECH-HEAVY NASDAQ COMPOSITE SLID 2.5% WHILE THE DOW JONES INDUSTRIAL AVERAGE EKED OUT A TINY GAIN AS SOLID GAINS BY COMPANIES LIKE DISNEY EXXON MOBIL ...,GLOBAL DATA,https://www.kansascity.com/news/article249421275.html
2021-02-23, ,DAILY,Weakness in Big Tech stocks leaves Wall Street mostly lower, ,-0.5,THE PHILADELPHIA INQUIRER,2.5,companies;Nasdaq;Disney;Exxon Mobil,Weakness;stocks;Big Tech;composite;Wall Street;gains;Dow Jones Industrial Average;gain, ,NEWS AI SENTIMENTS,0.5,WORLDDATA.AI,NORTH AMERICA NEWS SOURCES,THE TECH-HEAVY NASDAQ COMPOSITE SLID 2.5% WHILE THE DOW JONES INDUSTRIAL AVERAGE EKED OUT A TINY GAIN AS SOLID GAINS BY COMPANIES LIKE DISNEY EXXON MOBIL ...,GLOBAL DATA,https://www.inquirer.com/wires/ap/weakness-big-tech-stocks-leaves-wall-street-mostly-lower-20210222.html
2021-02-23, ,DAILY,Weakness in Big Tech stocks leaves Wall Street mostly lower, ,-0.5,THE BLADE,2.5,companies;Nasdaq;Disney;Exxon Mobil,Weakness;stocks;Big Tech;composite;Wall Street;gains;Dow Jones Industrial Average;gain, ,NEWS AI SENTIMENTS,0.5,WORLDDATA.AI,NORTH AMERICA NEWS SOURCES,THE TECH-HEAVY NASDAQ COMPOSITE SLID 2.5% WHILE THE DOW JONES INDUSTRIAL AVERAGE EKED OUT A TINY GAIN AS SOLID GAINS BY COMPANIES LIKE DISNEY EXXON MOBIL ...,GLOBAL DATA,https://www.toledoblade.com/business/2021/02/22/Weakness-in-Big-Tech-stocks-leaves-Wall-Street-mostly-lower-1/stories/20210222119
2021-02-20,Marathon,DAILY,It'll take weeks for Exxon Marathon and Total to repair and ..., ,0.0,THE DALLAS MORNING NEWS, ,oil companies;Exxon,freeze;damage, ,NEWS AI SENTIMENTS,1.2,WORLDDATA.AI,NORTH AMERICA NEWS SOURCES,THE OIL COMPANIES ARE DISCOVERING WIDESPREAD DAMAGE FROM THE DEEP FREEZE. LARGE ...,GLOBAL DATA,https://www.dallasnews.com/business/energy/2021/02/19/itll-take-weeks-for-exxon-marathon-and-total-to-repair-and-restart-damaged-texas-refineries/
2021-02-14,Exxon-Led Consortium's Next Challenge,DAILY,Local Content: Exxon-Led Consortium's Next Challenge In ...,area,0.1,FORBES, ,oil companies,Content;oil;question;factor;natural gas, ,NEWS AI SENTIMENTS,0.2,WORLDDATA.AI,NORTH AMERICA NEWS SOURCES,THE QUESTION OF LOCAL CONTENT INEVITABLY BECOMES A SIGNIFICANT FACTOR ANYTIME OIL COMPANIES MOVE INTO A NEW AREA TO EXPLORE FOR AND PRODUCE OIL AND NATURAL GAS ...,GLOBAL DATA,https://www.forbes.com/sites/davidblackmon/2021/02/13/local-content-exxon-led-consortiums-next-challenge-in-guyana/
2021-02-10,talks,DAILY,Exclusive: Ubben seeks $8 billion for new hedge fund amid ..., ,-0.1,REUTERS,8 billion,Reuters;Exxon Mobil Corp;board,Exclusive;hedge fund,Ubben;Jeffrey Ubben;hedge fund veteran,NEWS AI SENTIMENTS,0.2,WORLDDATA.AI,NORTH AMERICA NEWS SOURCES, - JEFFREY UBBEN A HEDGE FUND VETERAN IN TALKS TO JOIN EXXON MOBIL CORP'S BOARD IS SEEKING TO RAISE AS MUCH AS $8 BILLION FOR HIS NEW SOCIALLY AND ...,GLOBAL DATA,https://www.reuters.com/article/us-inclusivecapital-ubben-fundraising-ex/exclusive-ubben-seeks-8-billion-for-new-hedge-fund-amid-talks-with-exxon-sources-idUSKBN2A91YR?il=0
2021-02-06,Breakingviews,DAILY,Breakingviews - Jeff Ubben's soft touch could help hardened ...,NEW YORK,0.1,REUTERS, ,Reuters;Exxon Mobil,touch;activist investor;ValueAct Capital,Jeff Ubben,NEWS AI SENTIMENTS,0.3,WORLDDATA.AI,NORTH AMERICA NEWS SOURCES,NEW YORK  - JEFF UBBEN'S SOFT TOUCH WOULD BE USEFUL AT HARDENED EXXON MOBIL. THE ACTIVIST INVESTOR WHO CO-FOUNDED VALUEACT CAPITAL ...,GLOBAL DATA,https://www.reuters.com/article/us-exxon-mobil-management-breakingviews-idUSKBN2A52BA
2021-02-06, ,DAILY,Exxon Mobil: Wall Street positive on oil giant but analysts warn ...,gas station;Arlington;Virginia;U.S.,0.0,CNBC,29;2020,Exxon Mobil;Exxon Mobil Corp.;oil giant;Getty Images;Bloomberg,Wall Street;Fuel prices,analysts;Andrew Harrer,NEWS AI SENTIMENTS,0.4,WORLDDATA.AI,NORTH AMERICA NEWS SOURCES,FUEL PRICES ARE DISPLAYED AT AN EXXON MOBIL CORP. GAS STATION IN ARLINGTON VIRGINIA U.S. ON WEDNESDAY APRIL 29 2020. ANDREW HARRER ; BLOOMBERG ; GETTY IMAGES.,GLOBAL DATA,https://www.cnbc.com/2021/02/05/exxon-mobil-wall-street-positive-on-oil-giant-but-analysts-warn-of-long-term-risks.html
2021-02-03,loss;crisis,DAILY,Exxon pledges to safeguard dividend despite first annual loss ...,Irving,-0.1,THE DALLAS MORNING NEWS,2020,oil giant;Exxon,dividend;wreckage;history, ,NEWS AI SENTIMENTS,1.2,WORLDDATA.AI,NORTH AMERICA NEWS SOURCES,THE IRVING-BASED OIL GIANT IS EMERGING FROM THE WRECKAGE OF 2020 FACING THE WORST CRISIS IN ITS MODERN HISTORY.,GLOBAL DATA,https://www.dallasnews.com/business/energy/2021/02/02/exxon-pledges-to-safeguard-dividend-despite-first-annual-loss-in-at-least-40-years/
2021-02-03,earnings call,DAILY,Breakingviews - Corona Capital: Exxon Uber, ,0.0,REUTERS,190 billion,Breakingviews - Corona Capital;Exxon;Exxon Mobil;oil giant,UberBLACK TAR;appearance;questions,Darren Woods;boss,NEWS AI SENTIMENTS,0.3,WORLDDATA.AI,NORTH AMERICA NEWS SOURCES,BLACK TAR. EXXON MOBIL BOSS DARREN WOODS MADE A RARE APPEARANCE ON THE $190 BILLION OIL GIANT'S EARNINGS CALL ON TUESDAY. HE ARTFULLY DODGED QUESTIONS ...,GLOBAL DATA,https://www.reuters.com/article/us-health-coronavirus-finance-breakingvi/breakingviews-corona-capital-exxon-uber-idUSKBN2A2327
2021-02-03, ,DAILY,Big Tech leads stocks to broad gains; GameStop collapses, ,0.2,THE BLADE, ,Big Tech;energy companies;GameStop;VIX;Marathon Petroleum;Exxon Mobil,stocks;crude oil prices;gains;earnings results;Treasury yields, ,NEWS AI SENTIMENTS,0.6,WORLDDATA.AI,NORTH AMERICA NEWS SOURCES,RISING CRUDE OIL PRICES AND SOLID EARNINGS RESULTS HELPED LIFT ENERGY COMPANIES INCLUDING EXXON MOBIL AND MARATHON PETROLEUM. TREASURY YIELDS ROSE AND THE VIX ...,GLOBAL DATA,https://www.toledoblade.com/business/stock-market/2021/02/02/broader-stock-market-rises-but-gamestop-and-amc-crumble-marathon-petroleum/stories/20210202098
2021-02-03, ,DAILY,Big Tech leads stocks to broad gains; GameStop AMC tank, ,0.2,THE SEATTLE TIMES, ,Big Tech;GameStop;energy companies;AMC;VIX;Marathon Petroleum;Exxon Mobil,stocks;gains;earnings results;tank;crude oil prices;Treasury yields, ,NEWS AI SENTIMENTS,0.6,WORLDDATA.AI,NORTH AMERICA NEWS SOURCES,RISING CRUDE OIL PRICES AND SOLID EARNINGS RESULTS HELPED LIFT ENERGY COMPANIES INCLUDING EXXON MOBIL AND MARATHON PETROLEUM. TREASURY YIELDS ROSE AND THE VIX ...,GLOBAL DATA,https://www.seattletimes.com/business/asian-stocks-follow-wall-st-up-silver-eases-off-high/
2021-02-03, ,DAILY,Hit by pandemic oil giants Exxon BP post huge 2020 losses, ,-0.4,CHICAGO DAILY HERALD,19 billion;2020;20.1 billion,Exxon;oil giants;Exxon Mobil Corp.;BP,pandemic;losses;value, ,NEWS AI SENTIMENTS,0.4,WORLDDATA.AI,NORTH AMERICA NEWS SOURCES,EXXON MOBIL CORP. REPORTED THE LARGEST LOSSES IN ITS HISTORY - NEARLY $20.1 BILLION FOR THE FOURTH QUARTER INCLUDING MORE THAN $19 BILLION TO WRITE DOWN THE VALUE OF ...,GLOBAL DATA,https://www.dailyherald.com/article/20210202/business/302029925
2021-02-03,pandemic,DAILY,CORPORATE REPORT: UPS Pfizer surpass Wall Street ..., ,-0.2,SARASOTA HERALD-TRIBUNE,2020,UPS;Pfizer;Exxon;Oil giants;BP;Sarasota Herald-Tribune,Wall Street;losses;oil prices;energy demand, ,NEWS AI SENTIMENTS,1.1,WORLDDATA.AI,NORTH AMERICA NEWS SOURCES,OIL GIANTS EXXON AND BP REPORT STAGGERING LOSSES FOR 2020 AS THE PANDEMIC CRUSHES ENERGY DEMAND AND UNDERCUTS OIL PRICES. SARASOTA HERALD-TRIBUNE.,GLOBAL DATA,https://www.heraldtribune.com/story/business/2021/02/02/corporate-report-ups-pfizer-surpass-wall-street-expectations/4357271001/
2021-02-03, ,DAILY,Exxon clamps down on spending 4th-quarter revenue nearly flat, ,0.0,THE ADVOCATE,10 billion;4;2020,Exxon;ExxonMobil,spending;revenue;challenges;all;expenses, ,NEWS AI SENTIMENTS,0.0,WORLDDATA.AI,NORTH AMERICA NEWS SOURCES,WITH ALL OF THE CHALLENGES OF 2020 EXXONMOBIL FOCUSED ON CLAMPING DOWN ON EXPENSES AND MANAGED TO BRING ITS FULL-YEAR SPENDING DOWN NEARLY $10 BILLION FROM ...,GLOBAL DATA,https://www.theadvocate.com/baton_rouge/news/business/article_569de3ee-6578-11eb-8eef-ffb2413d5aa9.html
2021-02-03,U.N. Delays Salvage of Yemen Oil Tanker;leaks,DAILY,U.N. Delays Salvage of Yemen Oil Tanker Amid Fears of ..., ,0.0,THE NEW YORK TIMES,four,United Nations;Exxon,Fears;oil;salvage operation;times;tanker, ,NEWS AI SENTIMENTS,0.2,WORLDDATA.AI,NORTH AMERICA NEWS SOURCES,THE UNITED NATIONS HAD PLANNED TO START A MARITIME SALVAGE OPERATION TO PREVENT LEAKS FROM A DILAPIDATED TANKER HOLDING FOUR TIMES THE OIL THAT SPILLED IN THE EXXON ...,GLOBAL DATA,https://www.nytimes.com/2021/02/02/world/middleeast/yemen-oil-tanker-salvage-fso-safer.html
2021-02-03,pandemic,DAILY,Exxon reports its largest losses in the oil giant's history, ,-0.2,CBS NEWS,2020,Exxon;Exxon Mobil Corp;oil giant;historyOil giants;BP,losses;oil prices;energy demand, ,NEWS AI SENTIMENTS,0.9,WORLDDATA.AI,NORTH AMERICA NEWS SOURCES,OIL GIANTS EXXON AND BP REPORTED STAGGERING LOSSES FOR 2020 ON TUESDAY AS THE PANDEMIC CRUSHED ENERGY DEMAND AND UNDERCUT OIL PRICES. EXXON MOBIL CORP.,GLOBAL DATA,https://www.cbsnews.com/news/exxon-reports-largest-losses-in-oil-giants-history-2020/
2021-02-03,pandemic,DAILY,CORPORATE REPORT: UPS Pfizer surpass Wall Street ..., ,-0.2,SARASOTA HERALD-TRIBUNE,2020,UPS;Pfizer;Exxon;Oil giants;BP;Sarasota Herald-Tribune,Wall Street;losses;oil prices;energy demand, ,NEWS AI SENTIMENTS,1.1,WORLDDATA.AI,NORTH AMERICA NEWS SOURCES,OIL GIANTS EXXON AND BP REPORT STAGGERING LOSSES FOR 2020 AS THE PANDEMIC CRUSHES ENERGY DEMAND AND UNDERCUTS OIL PRICES. SARASOTA HERALD-TRIBUNE.,GLOBAL DATA,https://www.heraldtribune.com/story/business/2021/02/02/corporate-report-ups-pfizer-surpass-wall-street-expectations/4357271001/
